pclass,survived,sex,age,fare
2,0,male,25.0,26.0
2,1,female,36.0,13.0
2,0,male,25.0,13.0
2,0,male,42.0,13.0
2,1,female,42.0,13.0
2,1,male,0.83,29.0
2,1,male,26.0,29.0
2,1,female,22.0,29.0
2,1,female,35.0,21.0
2,0,male,NA,0.0
2,0,male,19.0,13.0
2,0,female,44.0,26.0
2,0,male,54.0,26.0
2,0,male,52.0,13.5
2,0,male,37.0,26.0
2,0,female,29.0,26.0
2,1,female,25.0,30.0
2,1,female,45.0,30.0
2,0,male,29.0,26.0
2,1,female,28.0,26.0
2,0,male,29.0,10.5
2,0,male,28.0,13.0
2,1,male,24.0,10.5
2,1,female,8.0,26.25
2,0,male,31.0,26.25
2,1,female,31.0,26.25
2,1,female,22.0,10.5
2,0,female,30.0,13.0
2,0,female,NA,21.0
2,0,male,21.0,11.5
2,0,male,NA,0.0
2,1,male,8.0,36.75
2,0,male,18.0,73.5
2,1,female,48.0,36.75
2,1,female,28.0,13.0
2,0,male,32.0,13.0
2,0,male,17.0,73.5
2,0,male,29.0,27.7208
2,1,female,24.0,27.7208
2,0,male,25.0,31.5
2,0,male,18.0,73.5
2,1,female,18.0,23.0
2,1,female,34.0,23.0
2,0,male,54.0,26.0
2,1,male,8.0,32.5
2,0,male,42.0,32.5
2,1,female,34.0,32.5
2,1,female,27.0,13.8583
2,1,female,30.0,13.8583
2,0,male,23.0,13.0
2,0,male,21.0,13.0
2,0,male,18.0,13.0
2,0,male,40.0,26.0
2,1,female,29.0,26.0
2,0,male,18.0,10.5
2,0,male,36.0,13.0
2,0,male,NA,0.0
2,0,female,38.0,13.0
2,0,male,35.0,26.0
2,0,male,38.0,21.0
2,0,male,34.0,21.0
2,1,female,34.0,13.0
2,0,male,16.0,26.0
2,0,male,26.0,10.5
2,0,male,47.0,10.5
2,0,male,21.0,11.5
2,0,male,21.0,11.5
2,0,male,24.0,13.5
2,0,male,24.0,13.0
2,0,male,34.0,13.0
2,0,male,30.0,13.0
2,0,male,52.0,13.0
2,0,male,30.0,13.0
2,1,male,0.67,14.5
2,1,female,24.0,14.5
2,0,male,44.0,13.0
2,1,female,6.0,33.0
2,0,male,28.0,33.0
2,1,male,62.0,10.5
2,0,male,30.0,10.5
2,1,female,7.0,26.25
2,0,male,43.0,26.25
2,1,female,45.0,26.25
2,1,female,24.0,65.0
2,1,female,24.0,65.0
2,0,male,49.0,65.0
2,1,female,48.0,65.0
2,1,female,55.0,16.0
2,0,male,24.0,73.5
2,0,male,32.0,73.5
2,0,male,21.0,73.5
2,0,female,18.0,13.0
2,1,female,20.0,23.0
2,0,male,23.0,11.5
2,0,male,36.0,13.0
2,1,female,54.0,23.0
2,0,male,50.0,13.0
2,0,male,44.0,26.0
2,1,female,29.0,26.0
2,0,male,21.0,73.5
2,1,male,42.0,13.0
2,0,male,63.0,26.0
2,0,female,60.0,26.0
2,0,male,33.0,12.275
2,1,female,17.0,10.5
2,0,male,42.0,27.0
2,1,female,24.0,27.0
2,0,male,47.0,15.0
2,0,male,24.0,31.5
2,0,male,22.0,31.5
2,0,male,32.0,10.5
2,1,female,23.0,13.7917
2,0,male,34.0,26.0
2,1,female,24.0,26.0
2,0,female,22.0,21.0
2,1,female,NA,12.35
2,0,male,35.0,12.35
2,1,female,45.0,13.5
2,0,male,57.0,12.35
2,0,male,NA,0.0
2,0,male,31.0,10.5
2,0,female,26.0,26.0
2,0,male,30.0,26.0
2,0,male,NA,10.7083
2,1,female,1.0,41.5792
2,1,female,3.0,41.5792
2,0,male,25.0,41.5792
2,1,female,22.0,41.5792
2,1,female,17.0,12.0
2,1,female,NA,33.0
2,1,female,34.0,10.5
2,0,male,36.0,12.875
2,0,male,24.0,10.5
2,0,male,61.0,12.35
2,0,male,50.0,26.0
2,1,female,42.0,26.0
2,0,female,57.0,10.5
2,0,male,NA,15.0458
2,1,male,1.0,37.0042
2,0,male,31.0,37.0042
2,1,female,24.0,37.0042
2,0,male,NA,15.5792
2,0,male,30.0,13.0
2,0,male,40.0,16.0
2,0,male,32.0,13.5
2,0,male,30.0,13.0
2,0,male,46.0,26.0
2,1,female,13.0,19.5
2,1,female,41.0,19.5
2,1,male,19.0,10.5
2,0,male,39.0,13.0
2,0,male,48.0,13.0
2,0,male,70.0,10.5
2,0,male,27.0,13.0
2,0,male,54.0,14.0
2,0,male,39.0,26.0
2,0,male,16.0,10.5
2,0,male,62.0,9.6875
2,0,male,32.5,30.0708
2,1,female,14.0,30.0708
2,1,male,2.0,26.0
2,1,male,3.0,26.0
2,0,male,36.5,26.0
2,0,male,26.0,13.0
2,0,male,19.0,36.75
2,0,male,28.0,13.5
2,1,male,20.0,13.8625
2,1,female,29.0,10.5
2,0,male,39.0,13.0
2,1,male,22.0,10.5
2,1,male,NA,13.8625
2,0,male,23.0,10.5
2,1,male,29.0,13.8583
2,0,male,28.0,10.5
2,0,male,NA,0.0
2,1,female,50.0,26.0
2,0,male,19.0,10.5
2,0,male,NA,15.05
2,0,male,41.0,13.0
2,1,female,21.0,21.0
2,1,female,19.0,26.0
2,0,male,43.0,21.0
2,1,female,32.0,13.0
2,0,male,34.0,13.0
2,1,male,30.0,12.7375
2,0,male,27.0,15.0333
2,1,female,2.0,26.0
2,1,female,8.0,26.0
2,1,female,33.0,26.0
2,0,male,36.0,10.5
2,0,male,34.0,21.0
2,1,female,30.0,21.0
2,1,female,28.0,13.0
2,0,male,23.0,15.0458
2,1,male,0.83,18.75
2,1,male,3.0,18.75
2,1,female,24.0,18.75
2,1,female,50.0,10.5
2,0,male,19.0,10.5
2,1,female,21.0,10.5
2,0,male,26.0,13.0
2,0,male,25.0,13.0
2,0,male,27.0,26.0
2,1,female,25.0,26.0
2,1,female,18.0,13.0
2,1,female,20.0,36.75
2,1,female,30.0,13.0
2,0,male,59.0,13.5
2,1,female,30.0,12.35
2,0,male,35.0,10.5
2,1,female,40.0,13.0
2,0,male,25.0,13.0
2,0,male,41.0,15.0458
2,0,male,25.0,10.5
2,0,male,18.5,13.0
2,0,male,14.0,65.0
2,1,female,50.0,10.5
2,0,male,23.0,13.0
2,1,female,28.0,12.65
2,1,female,27.0,10.5
2,0,male,29.0,21.0
2,0,female,27.0,21.0
2,0,male,40.0,13.0
2,1,female,31.0,21.0
2,0,male,30.0,21.0
2,0,male,23.0,10.5
2,1,female,31.0,21.0
2,0,male,NA,0.0
2,1,female,12.0,15.75
2,1,female,40.0,15.75
2,1,female,32.5,13.0
2,0,male,27.0,26.0
2,1,female,29.0,26.0
2,1,male,2.0,23.0
2,1,female,4.0,23.0
2,1,female,29.0,23.0
2,1,female,0.92,27.75
2,1,female,5.0,27.75
2,0,male,36.0,27.75
2,1,female,33.0,27.75
2,0,male,66.0,10.5
2,0,male,NA,12.875
2,1,male,31.0,13.0
2,1,male,NA,13.0
2,1,female,26.0,13.5
2,0,female,24.0,13.0
